Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  03.01.2013;143.91;144.17;143.19;143.57;663,119
  04.01.2013;143.17;143.43;142.52;142.75;899,521
  07.01.2013;142.95;143.18;142.79;143.06;528,63
  08.01.2013;143.22;143.52;143.01;143.43;676,093
  09.01.2013;143.26;143.77;143.19;143.58;675,376
  10.01.2013;143.53;143.66;142.43;142.7;947,158
  11.01.2013;142.55;142.78;142.05;142.31;933,428
  14.01.2013;142.48;142.94;142.44;142.77;604,961
  15.01.2013;142.86;143.39;142.79;143.29;856,27
  16.01.2013;143.14;143.64;143.14;143.37;817,409
  17.01.2013;143.5;143.62;142.51;142.76;1,021,389
  18.01.2013;142.5;143.38;142.38;143.32;851,014
  21.01.2013;143.25;143.34;142.85;142.9;389,614
  22.01.2013;142.96;143.23;142.54;143.12;892,405
  23.01.2013;143.17;143.68;143.07;143.59;794,032
  24.01.2013;143.55;144.07;143.18;143.2;982,838
  25.01.2013;143.27;143.49;142.2;142.5;1,114,416
  28.01.2013;142.21;142.53;141.61;141.79;870,255
  29.01.2013;141.87;142.27;141.7;141.82;929,365
  30.01.2013;141.75;141.98;141.28;141.43;1,118,032
  31.01.2013;141.88;142.17;141.55;141.9;963,172
  01.02.2013;141.67;142.45;141.54;142.01;1,020,721
  04.02.2013;141.48;142.82;141.47;142.64;1,030,766
  05.02.2013;142.65;142.93;141.94;142.2;928,846
  06.02.2013;142.29;142.78;142.22;142.54;832,699
  07.02.2013;142.54;143.01;142.14;142.82;1,024,089
  08.02.2013;142.73;143.11;142.62;142.83;723,908
  11.02.2013;142.94;143.11;142.63;142.85;529,456
  12.02.2013;142.92;143.03;142.41;142.55;723,656
  13.02.2013;142.61;142.69;141.84;142.05;937,667
  14.02.2013;142.03;142.68;141.87;142.59;1,019,912
  15.02.2013;142.7;143.01;142.29;142.34;770,754
  18.02.2013;142.51;142.92;142.48;142.76;355,006
  19.02.2013;142.83;142.98;142.61;142.82;654,777
  20.02.2013;142.72;142.72;142.23;142.42;848,004
  21.02.2013;142.71;143.6;142.71;143.38;1,097,337
  22.02.2013;143.4;143.74;143.17;143.62;870,42
  25.02.2013;143.52;144.47;142.85;143.52;1,063,579
  26.02.2013;144.51;145.13;144.43;144.9;1,153,151
  27.02.2013;145.11;145.4;144.8;145.09;989,335
  28.02.2013;145;145.23;144.81;144.99;865,803
  01.03.2013;145.19;145.64;144.86;145.51;923,369
  04.03.2013;145.77;145.8;145.35;145.39;1,088,901
  05.03.2013;145.36;145.43;145.01;145.03;1,349,237
  06.03.2013;145.1;145.25;144.86;145.12;496,794
  07.03.2013;143.28;143.45;142.64;142.83;938,042
  08.03.2013;142.78;142.95;142.27;142.46;760,912
  11.03.2013;142.72;142.87;142.51;142.72;426,552
  12.03.2013;142.6;143.21;142.52;143.04;632,12
  13.03.2013;143;143.37;142.92;143.14;649,714
  14.03.2013;143.12;143.24;142.82;143.14;561,306
  15.03.2013;143.1;143.54;143;143.39;561,324
  18.03.2013;144.41;144.69;143.87;143.94;724,29
  19.03.2013;144.05;144.82;143.98;144.62;984,761
  20.03.2013;144.64;144.64;143.95;144.3;915,806
  21.03.2013;144.2;144.66;144.04;144.46;780,82
  22.03.2013;144.71;144.83;144.21;144.37;732,945
  25.03.2013;144.01;144.93;143.91;144.72;747,025
  26.03.2013;144.65;144.9;144.49;144.82;721,723
  27.03.2013;144.93;145.67;144.83;145.52;878,567
  28.03.2013;145.67;145.87;145.34;145.49;764
  02.04.2013;145.58;145.63;145.1;145.24;582,435
  03.04.2013;145.25;145.65;145.13;145.52;556,674
  04.04.2013;145.59;146.08;145.45;145.96;784,025
  05.04.2013;145.97;146.54;145.82;146.34;843,052
  08.04.2013;146.31;146.34;145.85;146.08;598,166
  09.04.2013;145.87;146.06;145.51;145.8;776,696
  10.04.2013;145.65;145.68;145.15;145.35;702,063
  11.04.2013;145.24;145.5;144.93;145.25;723,808
  12.04.2013;145.29;145.98;145.27;145.88;664,091
  15.04.2013;145.9;146.22;145.63;146.04;602,659
  16.04.2013;146.01;146.11;145.55;145.73;689,466
  17.04.2013;145.76;146.36;145.35;146.24;975,692
  18.04.2013;146.2;146.39;145.86;146.27;686,921
  19.04.2013;146.15;146.21;145.85;146.03;597,943
  22.04.2013;145.95;146.43;145.72;146.35;659,737
  23.04.2013;146.35;146.77;145.91;146.09;1,025,452
  24.04.2013;145.92;146.29;145.62;146.19;903,623
  25.04.2013;146.16;146.37;146.04;146.2;582,363
  26.04.2013;146.37;146.63;146.29;146.54;532,205
  29.04.2013;146.59;146.74;146.27;146.66;643,863
  30.04.2013;146.55;146.87;146.39;146.58;679,489
  02.05.2013;146.73;147.2;146.17;147.16;951,796
  03.05.2013;146.95;147.11;146;146.15;896,835
  06.05.2013;146.15;146.36;145.97;146.16;289,903
  07.05.2013;146.18;146.27;145.37;145.43;840,435
  08.05.2013;145.47;145.9;145.42;145.85;655,67
  09.05.2013;145.82;146.23;145.77;145.89;595,255
  10.05.2013;145.65;145.66;144.43;144.66;961,509
  13.05.2013;144.43;145.07;144.43;144.89;755,893
  14.05.2013;144.84;144.99;144.22;144.74;679,104
  15.05.2013;144.53;145.01;144.33;144.64;914,896
  16.05.2013;144.84;145.36;144.53;145.31;919,615
  17.05.2013;145.25;145.74;145.13;145.45;777,073
  20.05.2013;145.09;145.33;144.65;144.86;518,659
  21.05.2013;144.86;144.92;144.25;144.33;871,196
  22.05.2013;144.65;145.2;144.26;144.6;1,116,981
  23.05.2013;144.61;145.15;144.31;144.39;1,092,607
  24.05.2013;144.54;144.83;144.12;144.58;872,381
  27.05.2013;144.49;144.65;144.25;144.26;142,835
  28.05.2013;144.15;144.38;143.58;143.82;1,003,880
  29.05.2013;143.3;143.73;143.25;143.41;1,058,098
  30.05.2013;143.6;143.86;143.47;143.73;770,208
  31.05.2013;143.79;144.38;143.43;143.71;1,206,083
  03.06.2013;143.83;143.84;142.98;143.56;1,498,220
  04.06.2013;143.38;143.55;143.13;143.36;1,236,053
  05.06.2013;143.56;143.91;143.32;143.79;474,863
  06.06.2013;143.76;144.18;143.15;143.45;1,050,195
  07.06.2013;143.88;144.15;143.19;143.39;879,773
  10.06.2013;143.24;143.69;142.6;142.85;691,211
  11.06.2013;142.73;142.87;142.02;142.74;1,159,307
  12.06.2013;142.65;142.95;142.46;142.79;699,077
  13.06.2013;143;143.44;142.91;143.19;818,015
  14.06.2013;143.46;143.94;143.38;143.86;574,177
  17.06.2013;143.62;143.99;143.48;143.78;518,144
  18.06.2013;143.56;143.68;143.13;143.21;622,009
  19.06.2013;143.35;143.74;142.35;143.44;658,279
