Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  23.01.2008;116,50;117,55;116,39;116,47;2.043.075
  24.01.2008;116,43;116,78;115,86;115,95;1.790.676
  25.01.2008;115,70;116,64;115,58;116,58;1.326.610
  28.01.2008;116,64;116,73;116,39;116,50;960.258
  29.01.2008;116,50;116,54;116,04;116,18;984.898
  30.01.2008;116,24;116,37;115,60;115,93;1.191.835
  31.01.2008;116,18;116,81;116,03;116,59;1.484.563
  01.02.2008;116,74;116,87;116,23;116,70;1.334.474
  04.02.2008;116,47;116,66;116,33;116,56;722.619
  05.02.2008;116,56;117,46;116,43;117,42;1.465.475
  06.02.2008;117,49;117,50;116,86;117,11;1.251.204
  07.02.2008;117,12;117,39;116,58;116,76;1.324.825
  08.02.2008;116,80;117,49;116,54;117,42;1.390.380
  11.02.2008;117,47;117,70;117,05;117,23;1.159.571
  12.02.2008;117,18;117,42;116,43;116,92;1.697.060
  13.02.2008;116,93;116,94;116,16;116,21;1.427.521
  14.02.2008;116,14;116,32;115,81;115,98;1.409.595
  15.02.2008;116,00;116,62;115,79;116,33;1.233.806
  18.02.2008;116,30;116,32;115,84;115,94;517.119
  19.02.2008;115,91;116,39;115,71;115,78;1.384.775
  20.02.2008;116,00;116,12;115,63;115,74;1.465.385
  21.02.2008;115,73;116,09;115,32;116,08;1.577.188
  22.02.2008;115,97;116,26;115,76;115,76;1.346.720
  25.02.2008;115,69;115,95;115,54;115,65;1.093.536
  26.02.2008;115,66;115,75;115,16;115,38;1.420.064
  27.02.2008;115,38;115,69;115,13;115,35;1.382.501
  28.02.2008;115,43;116,22;115,34;116,13;1.371.563
  29.02.2008;116,27;117,27;116,21;117,26;1.823.320
  03.03.2008;117,25;117,53;117,04;117,32;2.115.854
  04.03.2008;117,28;117,89;117,16;117,53;2.012.047
  05.03.2008;117,62;117,67;117,16;117,26;1.215.025
  06.03.2008;117,35;117,53;117,24;117,40;81.879
  07.03.2008;117,45;117,99;117,04;117,56;1.519.253
  10.03.2008;117,67;118,23;117,59;118,02;997.429
